# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
177             	5.26256766e-02	7.70784536e-19	-4.52797259e-01	2.26398629e-01	2.33353326e-01	2.63128383e-02	2.52711468e-01	-2.00085791e-01	2.63128383e-02	-2.63128383e-02	6.95469643e-03	-4.59751955e-01
178             	5.26087709e-02	7.70787224e-19	-4.53091592e-01	2.26545796e-01	2.33415410e-01	2.63043854e-02	2.52850182e-01	-2.00241411e-01	2.63043854e-02	-2.63043854e-02	6.86961428e-03	-4.59961207e-01
179             	5.25925482e-02	7.70789928e-19	-4.53390221e-01	2.26695111e-01	2.33476696e-01	2.62962741e-02	2.52991385e-01	-2.00398836e-01	2.62962741e-02	-2.62962741e-02	6.78158505e-03	-4.60171806e-01
180             	5.25765972e-02	7.70792525e-19	-4.53682195e-01	2.26841098e-01	2.33533016e-01	2.62882986e-02	2.53129396e-01	-2.00552799e-01	2.62882986e-02	-2.62882986e-02	6.69191873e-03	-4.60374114e-01
181             	5.25616131e-02	7.70795186e-19	-4.53988921e-01	2.26994461e-01	2.33592577e-01	2.62808065e-02	2.53275267e-01	-2.00713654e-01	2.62808065e-02	-2.62808065e-02	6.59811606e-03	-4.60587037e-01
182             	5.25471820e-02	7.70797948e-19	-4.54301968e-01	2.27150984e-01	2.33652466e-01	2.62735910e-02	2.53424575e-01	-2.00877393e-01	2.62735910e-02	-2.62735910e-02	6.50148148e-03	-4.60803450e-01
183             	5.25337001e-02	7.70800650e-19	-4.54614399e-01	2.27307199e-01	2.33710776e-01	2.62668500e-02	2.53574049e-01	-2.01040349e-01	2.62668500e-02	-2.62668500e-02	6.40357624e-03	-4.61017975e-01
184             	5.25209213e-02	7.70803423e-19	-4.54933579e-01	2.27466790e-01	2.33770649e-01	2.62604607e-02	2.53727250e-01	-2.01206329e-01	2.62604607e-02	-2.62604607e-02	6.30385909e-03	-4.61237438e-01
185             	5.25089713e-02	7.70806303e-19	-4.55259461e-01	2.27629731e-01	2.33831959e-01	2.62544857e-02	2.53884216e-01	-2.01375245e-01	2.62544857e-02	-2.62544857e-02	6.20222850e-03	-4.61461690e-01
186             	5.24977548e-02	7.70809142e-19	-4.55591138e-01	2.27795569e-01	2.33894140e-01	2.62488774e-02	2.54044446e-01	-2.01546692e-01	2.62488774e-02	-2.62488774e-02	6.09857116e-03	-4.61689709e-01
187             	5.24874906e-02	7.70811899e-19	-4.55936085e-01	2.27968042e-01	2.33960016e-01	2.62437453e-02	2.54211788e-01	-2.01724297e-01	2.62437453e-02	-2.62437453e-02	5.99197340e-03	-4.61928058e-01
188             	5.24781911e-02	7.70814663e-19	-4.56283975e-01	2.28141987e-01	2.34025928e-01	2.62390956e-02	2.54381083e-01	-2.01902892e-01	2.62390956e-02	-2.62390956e-02	5.88394057e-03	-4.62167916e-01
189             	5.24697352e-02	7.70817482e-19	-4.56636945e-01	2.28318473e-01	2.34092901e-01	2.62348676e-02	2.54553340e-01	-2.02083605e-01	2.62348676e-02	-2.62348676e-02	5.77442883e-03	-4.62411374e-01
190             	5.24616533e-02	7.70820342e-19	-4.56999564e-01	2.28499782e-01	2.34162409e-01	2.62308266e-02	2.54730608e-01	-2.02268955e-01	2.62308266e-02	-2.62308266e-02	5.66262695e-03	-4.62662190e-01
191             	5.24544551e-02	7.70823168e-19	-4.57368297e-01	2.28684148e-01	2.34233111e-01	2.62272276e-02	2.54911376e-01	-2.02456921e-01	2.62272276e-02	-2.62272276e-02	5.54896238e-03	-4.62917259e-01
192             	5.24482793e-02	7.70826028e-19	-4.57747166e-01	2.28873583e-01	2.34307216e-01	2.62241396e-02	2.55097723e-01	-2.02649443e-01	2.62241396e-02	-2.62241396e-02	5.43363307e-03	-4.63180799e-01
193             	5.24429429e-02	7.70828887e-19	-4.58130816e-01	2.29065408e-01	2.34383765e-01	2.62214715e-02	2.55286879e-01	-2.02843936e-01	2.62214715e-02	-2.62214715e-02	5.31835703e-03	-4.63449173e-01
194             	5.24391421e-02	7.70831866e-19	-4.58531712e-01	2.29265856e-01	2.34466852e-01	2.62195711e-02	2.55485427e-01	-2.03046285e-01	2.62195711e-02	-2.62195711e-02	5.20099642e-03	-4.63732708e-01
195             	5.24362723e-02	7.70834895e-19	-4.58944275e-01	2.29472137e-01	2.34553341e-01	2.62181361e-02	2.55690273e-01	-2.03254001e-01	2.62181361e-02	-2.62181361e-02	5.08120407e-03	-4.64025479e-01
196             	5.24340007e-02	7.70837979e-19	-4.59361080e-01	2.29680540e-01	2.34640351e-01	2.62170004e-02	2.55897540e-01	-2.03463539e-01	2.62170004e-02	-2.62170004e-02	4.95981148e-03	-4.64320891e-01
197             	5.24324409e-02	7.70841015e-19	-4.59783916e-01	2.29891958e-01	2.34729153e-01	2.62162205e-02	2.56108178e-01	-2.03675737e-01	2.62162205e-02	-2.62162205e-02	4.83719497e-03	-4.64621111e-01
198             	5.24316522e-02	7.70844042e-19	-4.60216998e-01	2.30108499e-01	2.34821669e-01	2.62158261e-02	2.56324325e-01	-2.03892673e-01	2.62158261e-02	-2.62158261e-02	4.71316998e-03	-4.64930168e-01
