# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
11              	7.98738380e-02	5.28652457e-19	3.20435853e-01	-1.60217926e-01	-1.07496566e-01	3.99369190e-02	-1.20281007e-01	2.00154845e-01	3.99369190e-02	-3.99369190e-02	5.27213600e-02	2.67714493e-01
12              	2.22930759e-01	5.29090959e-19	4.24967285e-01	-2.12483642e-01	3.41894776e-02	1.11465380e-01	-1.01018263e-01	3.23949022e-01	1.11465380e-01	-1.11465380e-01	2.46673120e-01	1.78294165e-01
13              	2.40900843e-01	5.28616986e-19	4.98579032e-01	-2.49289516e-01	5.58498727e-02	1.20450421e-01	-1.28839095e-01	3.69739937e-01	1.20450421e-01	-1.20450421e-01	3.05139389e-01	1.93439643e-01
14              	2.30017651e-01	5.28112651e-19	8.36214279e-02	-4.18107139e-02	1.85958948e-01	1.15008825e-01	7.31981114e-02	1.56819539e-01	1.15008825e-01	-1.15008825e-01	2.27769662e-01	-1.44148234e-01
15              	1.63938771e-01	5.26933922e-19	-2.06725826e-01	1.03362913e-01	2.08174397e-01	8.19693855e-02	1.85332298e-01	-2.13935274e-02	8.19693855e-02	-8.19693855e-02	1.04811484e-01	-3.11537310e-01
16              	1.12142345e-01	5.26000518e-19	-5.97922541e-01	2.98961270e-01	2.65103280e-01	5.60711727e-02	3.55032443e-01	-2.42890098e-01	5.60711727e-02	-5.60711727e-02	-3.38579900e-02	-5.64064551e-01
17              	5.01297540e-02	5.24840585e-19	-7.11601274e-01	3.55800637e-01	2.22181459e-01	2.50648770e-02	3.80865514e-01	-3.30735760e-01	2.50648770e-02	-2.50648770e-02	-1.33619178e-01	-5.77982097e-01
18              	2.77613747e-02	5.24006029e-19	-8.59806243e-01	4.29903122e-01	2.35198966e-01	1.38806874e-02	4.43783809e-01	-4.16022434e-01	1.38806874e-02	-1.38806874e-02	-1.94704156e-01	-6.65102087e-01
19              	9.24263254e-03	5.23082624e-19	-7.46721017e-01	3.73360509e-01	1.78251506e-01	4.62131627e-03	3.77981825e-01	-3.68739192e-01	4.62131627e-03	-4.62131627e-03	-1.95109003e-01	-5.51612014e-01
20              	2.53920187e-02	5.22466605e-19	-7.49251907e-01	3.74625953e-01	1.97004602e-01	1.26960093e-02	3.87321963e-01	-3.61929944e-01	1.26960093e-02	-1.26960093e-02	-1.77621351e-01	-5.71630556e-01
21              	3.51897452e-02	5.21688664e-19	-5.43438911e-01	2.71719455e-01	1.50973098e-01	1.75948726e-02	2.89314328e-01	-2.54124583e-01	1.75948726e-02	-1.75948726e-02	-1.20746357e-01	-4.22692553e-01
22              	5.87168777e-02	5.21210641e-19	-5.40241728e-01	2.70120864e-01	1.82403623e-01	2.93584388e-02	2.99479303e-01	-2.40762425e-01	2.93584388e-02	-2.93584388e-02	-8.77172415e-02	-4.52524487e-01
23              	6.96197881e-02	5.20406263e-19	-4.26155907e-01	2.13077954e-01	1.69189554e-01	3.48098941e-02	2.47887848e-01	-1.78268060e-01	3.48098941e-02	-3.48098941e-02	-4.38883994e-02	-3.82267508e-01
24              	8.87088055e-02	5.19316881e-19	-4.55081795e-01	2.27540897e-01	2.06694942e-01	4.43544027e-02	2.71895300e-01	-1.83186495e-01	4.43544027e-02	-4.43544027e-02	-2.08459553e-02	-4.34235839e-01
25              	8.72449156e-02	5.18535395e-19	-4.34147503e-01	2.17073752e-01	2.02214040e-01	4.36224578e-02	2.60696209e-01	-1.73451294e-01	4.36224578e-02	-4.36224578e-02	-1.48597119e-02	-4.19287791e-01
26              	9.16612485e-02	5.17859384e-19	-4.72968312e-01	2.36484156e-01	2.20138229e-01	4.58306243e-02	2.82314780e-01	-1.90653532e-01	4.58306243e-02	-4.58306243e-02	-1.63459273e-02	-4.56622385e-01
27              	8.50059963e-02	5.17054698e-19	-5.14104176e-01	2.57052088e-01	2.25388124e-01	4.25029981e-02	2.99555086e-01	-2.14549090e-01	4.25029981e-02	-4.25029981e-02	-3.16639637e-02	-4.82440212e-01
28              	8.17900452e-02	5.16362363e-19	-5.71358490e-01	2.85679245e-01	2.38940628e-01	4.08950226e-02	3.26574268e-01	-2.44784223e-01	4.08950226e-02	-4.08950226e-02	-4.67386175e-02	-5.24619873e-01
29              	7.62570220e-02	5.15669254e-19	-6.02972783e-01	3.01486392e-01	2.41494556e-01	3.81285110e-02	3.39614903e-01	-2.63357881e-01	3.81285110e-02	-3.81285110e-02	-5.99918352e-02	-5.42980948e-01
30              	7.33670775e-02	5.15028913e-19	-6.29772864e-01	3.14886432e-01	2.46161041e-01	3.66835387e-02	3.51569971e-01	-2.78202893e-01	3.66835387e-02	-3.66835387e-02	-6.87253904e-02	-5.61047473e-01
31              	7.08582082e-02	5.14399574e-19	-6.37940821e-01	3.18970411e-01	2.46386077e-01	3.54291041e-02	3.54399515e-01	-2.83541306e-01	3.54291041e-02	-3.54291041e-02	-7.25843331e-02	-5.65356488e-01
32              	7.13379715e-02	5.13825273e-19	-6.38359320e-01	3.19179660e-01	2.48271672e-01	3.56689858e-02	3.54848646e-01	-2.83510674e-01	3.56689858e-02	-3.56689858e-02	-7.09079873e-02	-5.67451332e-01
