# y+ ()         
# Time          	patch           	min             	max             	average         
6000            	Ground	1.77512667e-01	1.97879841e+00	1.49685472e+00
6000            	Airfoil	2.94419530e-01	5.40630317e+00	2.26968227e+00
6100            	Ground	1.71962619e-01	1.97883764e+00	1.49727493e+00
6100            	Airfoil	2.94613740e-01	5.40777792e+00	2.27007513e+00
6200            	Ground	1.66387804e-01	1.97873423e+00	1.49759863e+00
6200            	Airfoil	2.94617041e-01	5.40916196e+00	2.27039377e+00
6300            	Ground	1.61015071e-01	1.97873407e+00	1.49782039e+00
6300            	Airfoil	2.94819816e-01	5.41047908e+00	2.27074168e+00
6400            	Ground	1.55847521e-01	1.97869389e+00	1.49813575e+00
6400            	Airfoil	2.94889675e-01	5.41171019e+00	2.27104433e+00
6500            	Ground	1.50709479e-01	1.97865809e+00	1.49839995e+00
6500            	Airfoil	2.94933576e-01	5.41288237e+00	2.27131351e+00
6600            	Ground	1.45716941e-01	1.97863471e+00	1.49846130e+00
6600            	Airfoil	2.94962649e-01	5.41398446e+00	2.27159230e+00
6700            	Ground	1.40890801e-01	1.97864562e+00	1.49853355e+00
6700            	Airfoil	2.94959550e-01	5.41502733e+00	2.27186447e+00
6800            	Ground	1.36364081e-01	1.97860662e+00	1.49890063e+00
6800            	Airfoil	2.94886135e-01	5.41600747e+00	2.27211092e+00
6900            	Ground	1.31840529e-01	1.97858467e+00	1.49927548e+00
6900            	Airfoil	2.95196510e-01	5.41692388e+00	2.27233363e+00
7000            	Ground	1.27468160e-01	1.97850050e+00	1.49949307e+00
7000            	Airfoil	2.95251618e-01	5.41779307e+00	2.27253925e+00
7100            	Ground	1.23202633e-01	1.97848236e+00	1.49967987e+00
7100            	Airfoil	2.95292098e-01	5.41860509e+00	2.27273688e+00
7200            	Ground	1.19108016e-01	1.97847301e+00	1.49989083e+00
7200            	Airfoil	2.95361482e-01	5.41936695e+00	2.27291291e+00
7300            	Ground	1.15053502e-01	1.97846465e+00	1.50004657e+00
7300            	Airfoil	2.95461032e-01	5.42009367e+00	2.27307363e+00
7400            	Ground	1.10962913e-01	1.97838482e+00	1.49991515e+00
7400            	Airfoil	2.95151703e-01	5.42077503e+00	2.27322621e+00
7500            	Ground	1.07421840e-01	1.97840078e+00	1.50028250e+00
7500            	Airfoil	2.95202611e-01	5.42140661e+00	2.27338005e+00
7600            	Ground	1.03790802e-01	1.97842215e+00	1.50058525e+00
7600            	Airfoil	2.95518065e-01	5.42200553e+00	2.27354076e+00
7700            	Ground	1.00255960e-01	1.97827562e+00	1.50070930e+00
7700            	Airfoil	2.95554897e-01	5.42256367e+00	2.27365930e+00
7800            	Ground	9.67827541e-02	1.97835163e+00	1.50082909e+00
7800            	Airfoil	2.95524725e-01	5.42309024e+00	2.27376375e+00
8000            	Ground	9.03363635e-02	1.97823620e+00	1.50108724e+00
8000            	Airfoil	2.95516793e-01	5.42404353e+00	2.27399804e+00
9000            	Ground	6.49041344e-02	1.97802212e+00	1.50237773e+00
9000            	Airfoil	2.95600804e-01	5.42723627e+00	2.27468469e+00
10000           	Ground	5.17975693e-02	1.97788410e+00	1.50316924e+00
10000           	Airfoil	2.87502913e-01	5.42867078e+00	2.27493371e+00
