# ccx tau_xx tau_yy tau_zz cp yplus
0.147602 -0.000132445 2.43141e-05 2.50252e-39 -2.77376 3.41298
0.145767 -0.000123001 2.23884e-05 0 -2.7199 3.30025
0.143949 -0.000116299 2.10503e-05 7.34684e-40 -2.67681 3.22011
0.142147 -0.000111104 1.9946e-05 -1.87336e-21 -2.64431 3.15785
0.140361 -0.000107424 1.92674e-05 4.50511e-38 -2.62024 3.11567
0.138591 -0.000110773 2.03054e-05 -1.84841e-21 -2.61348 3.17576
0.136836 -0.000128355 2.51992e-05 1.77082e-21 -2.63024 3.43568
0.135101 -0.000132308 2.84796e-05 1.75359e-21 -2.47784 3.52803
0.133387 -0.000117027 2.46455e-05 0 -2.44163 3.32812
0.131688 -0.000111303 2.35842e-05 4.8022e-27 -2.39533 3.25844
0.130005 -0.000105814 2.23158e-05 1.93959e-21 -2.36259 3.18842
0.128337 -0.000102029 2.14855e-05 1.96066e-21 -2.33654 3.14213
0.126684 -0.00010071 2.13401e-05 -1.53592e-23 -2.31736 3.13333
0.125047 -0.000106042 2.30762e-05 -1.92014e-21 -2.31587 3.22855
0.123425 -0.00012558 2.86534e-05 1.80557e-21 -2.33542 3.53112
0.121824 -0.000129684 3.21918e-05 0 -2.17868 3.62177
0.120245 -0.00011336 2.78758e-05 1.84532e-21 -2.14391 3.39763
0.11868 -0.00010766 2.66824e-05 1.50227e-23 -2.09564 3.32503
0.11713 -0.000102006 2.52517e-05 4.05494e-27 -2.0606 3.24893
0.115595 -9.80603e-05 2.42735e-05 1.57125e-23 -2.03154 3.19764
0.114074 -9.55212e-05 2.38109e-05 2.01895e-21 -2.00787 3.16851
0.112567 -9.78434e-05 2.4904e-05 -1.46937e-39 -1.99509 3.22064
0.111074 -0.000110796 2.87018e-05 -1.48314e-23 -2.00559 3.44206
0.109601 -0.000116125 3.18171e-05 1.48456e-23 -1.90761 3.5441
0.108148 -0.00010809 3.02162e-05 -1.91409e-21 -1.84977 3.43388
0.106711 -0.000101182 2.83439e-05 -1.55358e-23 -1.80831 3.33556
0.105288 -9.62146e-05 2.69913e-05 1.59427e-23 -1.7723 3.26562
0.103879 -9.22331e-05 2.58809e-05 2.06817e-21 -1.74264 3.20973
0.102483 -8.93624e-05 2.51092e-05 -4.70198e-38 -1.71737 3.17164
0.101102 -8.88471e-05 2.5276e-05 2.68354e-44 -1.69589 3.17589
0.0997335 -9.27909e-05 2.69229e-05 7.64683e-40 -1.68481 3.26001
0.0983793 -0.000103374 3.01751e-05 0 -1.67603 3.45419
0.0970442 -0.000104946 3.19351e-05 -2.00197e-21 -1.58391 3.49102
0.0957277 -9.41134e-05 2.8836e-05 -2.66866e-27 -1.55696 3.31907
0.0944247 -9.00588e-05 2.77339e-05 -2.75368e-27 -1.52215 3.26005
0.093135 -8.59995e-05 2.6542e-05 3.39292e-23 -1.49525 3.19819
0.0918585 -8.31984e-05 2.57329e-05 -3.45616e-23 -1.47189 3.15781
0.090595 -8.1664e-05 2.54341e-05 1.74545e-23 -1.45163 3.14115
