# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
173             	4.94237606e-02	7.05174924e-18	-6.48176803e-01	3.24088401e-01	2.99006203e-01	2.47118803e-02	3.48800282e-01	-2.99376521e-01	2.47118803e-02	-2.47118803e-02	-2.50821984e-02	-6.23094604e-01
174             	4.93247914e-02	7.03827516e-18	-6.48537993e-01	3.24268997e-01	2.98920424e-01	2.46623957e-02	3.48931392e-01	-2.99606601e-01	2.46623957e-02	-2.46623957e-02	-2.53485728e-02	-6.23189420e-01
175             	4.92121210e-02	7.02195129e-18	-6.48768381e-01	3.24384191e-01	2.98759491e-01	2.46060605e-02	3.48990251e-01	-2.99778130e-01	2.46060605e-02	-2.46060605e-02	-2.56246992e-02	-6.23143682e-01
176             	4.90924626e-02	7.00206174e-18	-6.48916057e-01	3.24458029e-01	2.98542666e-01	2.45462313e-02	3.49004260e-01	-2.99911797e-01	2.45462313e-02	-2.45462313e-02	-2.59153631e-02	-6.23000694e-01
177             	4.90261586e-02	6.98387342e-18	-6.49381076e-01	3.24690538e-01	2.98529834e-01	2.45130793e-02	3.49203617e-01	-3.00177459e-01	2.45130793e-02	-2.45130793e-02	-2.61607042e-02	-6.23220372e-01
178             	4.89658865e-02	6.96439453e-18	-6.49816920e-01	3.24908460e-01	2.98525100e-01	2.44829432e-02	3.49391403e-01	-3.00425517e-01	2.44829432e-02	-2.44829432e-02	-2.63833595e-02	-6.23433560e-01
179             	4.88992272e-02	6.94382607e-18	-6.50162925e-01	3.25081463e-01	2.98474812e-01	2.44496136e-02	3.49531076e-01	-3.00631849e-01	2.44496136e-02	-2.44496136e-02	-2.66066509e-02	-6.23556274e-01
180             	4.88272475e-02	6.92232573e-18	-6.50436541e-01	3.25218271e-01	2.98404982e-01	2.44136238e-02	3.49631894e-01	-3.00804647e-01	2.44136238e-02	-2.44136238e-02	-2.68132883e-02	-6.23623253e-01
181             	4.87627497e-02	6.90017518e-18	-6.50746836e-01	3.25373418e-01	2.98365269e-01	2.43813748e-02	3.49754793e-01	-3.00992043e-01	2.43813748e-02	-2.43813748e-02	-2.70081491e-02	-6.23738687e-01
182             	4.87045142e-02	6.87782980e-18	-6.51097227e-01	3.25548613e-01	2.98347062e-01	2.43522571e-02	3.49900871e-01	-3.01196356e-01	2.43522571e-02	-2.43522571e-02	-2.72015512e-02	-6.23895676e-01
183             	4.87307082e-02	6.86469905e-18	-6.52004892e-01	3.26002446e-01	2.98692685e-01	2.43653541e-02	3.50367800e-01	-3.01637092e-01	2.43653541e-02	-2.43653541e-02	-2.73097610e-02	-6.24695131e-01
184             	4.89493344e-02	6.87384325e-18	-6.54237900e-01	3.27118950e-01	2.99908402e-01	2.44746672e-02	3.51593617e-01	-3.02644283e-01	2.44746672e-02	-2.44746672e-02	-2.72105477e-02	-6.27027352e-01
185             	4.90383783e-02	6.87107753e-18	-6.55598775e-01	3.27799388e-01	3.00571967e-01	2.45191892e-02	3.52318577e-01	-3.03280198e-01	2.45191892e-02	-2.45191892e-02	-2.72274210e-02	-6.28371354e-01
186             	4.91120750e-02	6.87514002e-18	-6.56915788e-01	3.28457894e-01	3.01187555e-01	2.45560375e-02	3.53013931e-01	-3.03901856e-01	2.45560375e-02	-2.45560375e-02	-2.72703390e-02	-6.29645449e-01
187             	4.91858511e-02	6.88425600e-18	-6.58301231e-01	3.29150616e-01	3.01827435e-01	2.45929256e-02	3.53743541e-01	-3.04557690e-01	2.45929256e-02	-2.45929256e-02	-2.73231804e-02	-6.30978051e-01
188             	4.92343306e-02	6.89132063e-18	-6.59504064e-01	3.29752032e-01	3.02342658e-01	2.46171653e-02	3.54369197e-01	-3.05134867e-01	2.46171653e-02	-2.46171653e-02	-2.74093743e-02	-6.32094690e-01
189             	4.92832668e-02	6.89904074e-18	-6.60711804e-01	3.30355902e-01	3.02871088e-01	2.46416334e-02	3.54997536e-01	-3.05714269e-01	2.46416334e-02	-2.46416334e-02	-2.74848145e-02	-6.33226990e-01
190             	4.93366404e-02	6.90614374e-18	-6.61959075e-01	3.30979537e-01	3.03424724e-01	2.46683202e-02	3.55647858e-01	-3.06311217e-01	2.46683202e-02	-2.46683202e-02	-2.75548137e-02	-6.34404261e-01
191             	4.93910349e-02	6.91294439e-18	-6.63345546e-01	3.31672773e-01	3.04046641e-01	2.46955174e-02	3.56368291e-01	-3.06977256e-01	2.46955174e-02	-2.46955174e-02	-2.76261326e-02	-6.35719414e-01
192             	4.94264505e-02	6.91936260e-18	-6.64607967e-01	3.32303984e-01	3.04583421e-01	2.47132253e-02	3.57017209e-01	-3.07590758e-01	2.47132253e-02	-2.47132253e-02	-2.77205631e-02	-6.36887404e-01
193             	4.94493283e-02	6.92541113e-18	-6.65825837e-01	3.32912919e-01	3.05070756e-01	2.47246642e-02	3.57637583e-01	-3.08188255e-01	2.47246642e-02	-2.47246642e-02	-2.78421623e-02	-6.37983675e-01
194             	4.94641790e-02	6.93114514e-18	-6.67018172e-01	3.33509086e-01	3.05518611e-01	2.47320895e-02	3.58241176e-01	-3.08776997e-01	2.47320895e-02	-2.47320895e-02	-2.79904756e-02	-6.39027697e-01
195             	4.94531166e-02	6.93648826e-18	-6.68087109e-01	3.34043555e-01	3.05877994e-01	2.47265583e-02	3.58770113e-01	-3.09316996e-01	2.47265583e-02	-2.47265583e-02	-2.81655606e-02	-6.39921549e-01
196             	4.94252198e-02	6.94131906e-18	-6.69145627e-01	3.34572814e-01	3.06200945e-01	2.47126099e-02	3.59285423e-01	-3.09860204e-01	2.47126099e-02	-2.47126099e-02	-2.83718689e-02	-6.40773758e-01
197             	4.93762462e-02	6.94762469e-18	-6.70143929e-01	3.35071964e-01	3.06456203e-01	2.46881231e-02	3.59760088e-01	-3.10383841e-01	2.46881231e-02	-2.46881231e-02	-2.86157617e-02	-6.41528167e-01
198             	4.93412287e-02	6.96477176e-18	-6.71207339e-01	3.35603669e-01	3.06757356e-01	2.46706144e-02	3.60274284e-01	-3.10933055e-01	2.46706144e-02	-2.46706144e-02	-2.88463136e-02	-6.42361025e-01
199             	4.92508107e-02	6.97649063e-18	-6.71833458e-01	3.35916729e-01	3.06775746e-01	2.46254053e-02	3.60542134e-01	-3.11291324e-01	2.46254053e-02	-2.46254053e-02	-2.91409832e-02	-6.42692475e-01
200             	4.91680533e-02	6.98834350e-18	-6.72497638e-01	3.36248819e-01	3.06816150e-01	2.45840266e-02	3.60832846e-01	-3.11664793e-01	2.45840266e-02	-2.45840266e-02	-2.94326690e-02	-6.43064969e-01
201             	4.91047190e-02	6.99927209e-18	-6.73310039e-01	3.36655019e-01	3.06942160e-01	2.45523595e-02	3.61207379e-01	-3.12102660e-01	2.45523595e-02	-2.45523595e-02	-2.97128598e-02	-6.43597179e-01
202             	4.90514864e-02	7.00927214e-18	-6.74218259e-01	3.37109129e-01	3.07119338e-01	2.45257432e-02	3.61634873e-01	-3.12583386e-01	2.45257432e-02	-2.45257432e-02	-2.99897912e-02	-6.44228468e-01
203             	4.90248272e-02	7.02044705e-18	-6.75318439e-01	3.37659219e-01	3.07411902e-01	2.45124136e-02	3.62171633e-01	-3.13146806e-01	2.45124136e-02	-2.45124136e-02	-3.02473174e-02	-6.45071121e-01
204             	4.90247502e-02	7.03293894e-18	-6.76622751e-01	3.38311375e-01	3.07830395e-01	2.45123751e-02	3.62823750e-01	-3.13799000e-01	2.45123751e-02	-2.45123751e-02	-3.04809799e-02	-6.46141771e-01
205             	4.90329666e-02	7.04483305e-18	-6.78069671e-01	3.39034836e-01	3.08314475e-01	2.45164833e-02	3.63551319e-01	-3.14518352e-01	2.45164833e-02	-2.45164833e-02	-3.07203610e-02	-6.47349310e-01
206             	4.90145319e-02	7.05611735e-18	-6.79336157e-01	3.39668078e-01	3.08681625e-01	2.45072660e-02	3.64175344e-01	-3.15160812e-01	2.45072660e-02	-2.45072660e-02	-3.09864535e-02	-6.48349703e-01
207             	4.89828346e-02	7.06674287e-18	-6.80477579e-01	3.40238790e-01	3.08970165e-01	2.44914173e-02	3.64730207e-01	-3.15747372e-01	2.44914173e-02	-2.44914173e-02	-3.12686245e-02	-6.49208955e-01
208             	4.89542614e-02	7.07649577e-18	-6.81626048e-01	3.40813024e-01	3.09265140e-01	2.44771307e-02	3.65290155e-01	-3.16335893e-01	2.44771307e-02	-2.44771307e-02	-3.15478845e-02	-6.50078164e-01
209             	4.89369118e-02	7.08292597e-18	-6.82911836e-01	3.41455918e-01	3.09626095e-01	2.44684559e-02	3.65924374e-01	-3.16987462e-01	2.44684559e-02	-2.44684559e-02	-3.18298229e-02	-6.51082013e-01
210             	4.89098235e-02	7.08891872e-18	-6.84097403e-01	3.42048701e-01	3.09938083e-01	2.44549117e-02	3.66503613e-01	-3.17593790e-01	2.44549117e-02	-2.44549117e-02	-3.21106183e-02	-6.51986784e-01
211             	4.88801749e-02	7.09458155e-18	-6.85251232e-01	3.42625616e-01	3.10238769e-01	2.44400875e-02	3.67065703e-01	-3.18185528e-01	2.44400875e-02	-2.44400875e-02	-3.23868471e-02	-6.52864385e-01
212             	4.88608404e-02	7.09985141e-18	-6.86461845e-01	3.43230923e-01	3.10575303e-01	2.44304202e-02	3.67661343e-01	-3.18800502e-01	2.44304202e-02	-2.44304202e-02	-3.26556198e-02	-6.53806226e-01
213             	4.88406599e-02	7.10466919e-18	-6.87636769e-01	3.43818385e-01	3.10906991e-01	2.44203299e-02	3.68238715e-01	-3.19398055e-01	2.44203299e-02	-2.44203299e-02	-3.29113935e-02	-6.54725376e-01
214             	4.88199806e-02	7.10898978e-18	-6.88830483e-01	3.44415242e-01	3.11252410e-01	2.44099903e-02	3.68825232e-01	-3.20005251e-01	2.44099903e-02	-2.44099903e-02	-3.31628315e-02	-6.55667652e-01
215             	4.88013811e-02	7.11280981e-18	-6.90123252e-01	3.45061626e-01	3.11636655e-01	2.44006906e-02	3.69462316e-01	-3.20660935e-01	2.44006906e-02	-2.44006906e-02	-3.34249710e-02	-6.56698281e-01
216             	4.87814408e-02	7.11584487e-18	-6.91394894e-01	3.45697447e-01	3.12001586e-01	2.43907204e-02	3.70088167e-01	-3.21306727e-01	2.43907204e-02	-2.43907204e-02	-3.36958610e-02	-6.57699033e-01
217             	4.87503992e-02	7.11801068e-18	-6.92514320e-01	3.46257160e-01	3.12299749e-01	2.43751996e-02	3.70632359e-01	-3.21881960e-01	2.43751996e-02	-2.43751996e-02	-3.39574106e-02	-6.58556909e-01
218             	4.87164020e-02	7.11940057e-18	-6.93595532e-01	3.46797766e-01	3.12587745e-01	2.43582010e-02	3.71155967e-01	-3.22439565e-01	2.43582010e-02	-2.43582010e-02	-3.42100212e-02	-6.59385510e-01
219             	4.86844408e-02	7.11998581e-18	-6.94693110e-01	3.47346555e-01	3.12893716e-01	2.43422204e-02	3.71688775e-01	-3.23004335e-01	2.43422204e-02	-2.43422204e-02	-3.44528394e-02	-6.60240271e-01
220             	4.86588953e-02	7.11983511e-18	-6.95821666e-01	3.47910833e-01	3.13213428e-01	2.43294477e-02	3.72240281e-01	-3.23581385e-01	2.43294477e-02	-2.43294477e-02	-3.46974045e-02	-6.61124261e-01
221             	4.86314313e-02	7.11922703e-18	-6.96897066e-01	3.48448533e-01	3.13510406e-01	2.43157156e-02	3.72764249e-01	-3.24132817e-01	2.43157156e-02	-2.43157156e-02	-3.49381268e-02	-6.61958939e-01
222             	4.85984119e-02	7.11839978e-18	-6.97939420e-01	3.48969710e-01	3.13787637e-01	2.42992060e-02	3.73268916e-01	-3.24670504e-01	2.42992060e-02	-2.42992060e-02	-3.51820733e-02	-6.62757347e-01
223             	4.85635341e-02	7.11746476e-18	-6.98972095e-01	3.49486048e-01	3.14061112e-01	2.42817671e-02	3.73767815e-01	-3.25204281e-01	2.42817671e-02	-2.42817671e-02	-3.54249362e-02	-6.63547159e-01
224             	4.85329354e-02	7.11650202e-18	-7.00004539e-01	3.50002270e-01	3.14338707e-01	2.42664677e-02	3.74268737e-01	-3.25735802e-01	2.42664677e-02	-2.42664677e-02	-3.56635631e-02	-6.64340976e-01
